ALABAMA,LATITUDE,LONGITUDE
Macon AP,32,42,83,39
"Marietta Dobbins AFB",33,55,84,31
Savannah,32,8,81,12
Valdosta-Moody AFB,30,58,83,12
Waycross,31,15,82,24
HAWAII,LATITUDE,LONGITUDE,
Hilo AP (S),19,43,155,5
Honolulu AP,21,20,157,55
Kaneohe Bay MCAS,21,27,157,46
Wahiawa,21,3,158,2
IDAHO,LATITUDE,LONGITUDE,
Boise AP (S),43,34,116,13
Burley,42,32,113,46
Coeur DAlene AP,47,46,116,49
Idaho Falls AP,43,31,112,4
Lewiston AP,46,23,117,1
Moscow,46,44,116,58
Mountain Home AFB,43,2,115,54
Pocatello AP,42,55,112,36
Twin Falls AP (S),42,29,114,29
ILLINOIS,LATITUDE,LONGITUDE,
Aurora,41,45,88,20
"Belleville Scott AFB",38,33,89,51
Bloomington,40,29,88,57
Carbondale,37,47,89,15
Champaign/Urbana,40,2,88,17
"Chicago Midway AP",41,47,87,45
"Chicago OHare AP",41,59,87,54
Chicago Co,41,53,87,38
Danville,40,12,87,36
Decatur,39,50,88,52
Dixon,41,50,89,29
Elgin,42,2,88,16
Freeport,42,18,89,37
Galesburg,40,56,90,26
Greenville,38,53,89,24
Joliet,41,31,88,10
Kankakee,41,5,87,55
La Salle/Peru,41,19,89,6
Macomb,40,28,90,40
Moline AP,41,27,90,31
Mt Vernon,38,19,88,52
Peoria AP,40,40,89,41
Quincy AP,39,57,91,12
"Rantoul Chanute AFB",40,18,88,8
Rockford,42,21,89,3
Springfield AP,39,50,89,40
Waukegan,42,21,87,53
INDIANA,LATITUDE,LONGITUDE,
Anderson,40,6,85,37
Bedford,38,51,86,30
Bloomington,39,8,86,37
"Columbus Bakalar AFB",39,16,85,54
Crawfordsville,40,3,86,54
Evansville AP,38,3,87,32
Fort Wayne AP,41,0,85,12
Goshen AP,41,32,85,48
Hobart,41,32,87,15
Huntington,40,53,85,30
Indianapolis AP,39,44,86,17
Jeffersonville,38,17,85,45
Kokomo,40,25,86,3
Lafayette,40,2,86,5
La Porte,41,36,86,43
Marion,40,29,85,41
Muncie,40,11,85,21
"Peru Grissom AFB",40,39,86,9
Richmond AP,39,46,84,50
Shelbyville,39,31,85,47
South Bend AP,41,42,86,19
Terre Haute AP,39,27,87,18
Valparaiso,41,31,87,2
Vincennes,38,41,87,32
IOWA,LATITUDE,LONGITUDE,
Ames (S),42,2,93,48
Burlington AP,40,47,91,7
Cedar Rapids AP,41,53,91,42
Clinton,41,50,90,13
Council Bluffs,41,20,95,49
Des Moines AP,41,32,93,39
Dubuque,42,24,90,42
Fort Dodge,42,33,94,11
Iowa City,41,38,91,33
Keokuk,40,24,91,24
Marshalltown,42,4,92,56
Mason City AP,43,9,93,20
Newton,41,41,93,2
Ottumwa AP,41,6,92,27
Sioux City AP,42,24,96,23
Waterloo,42,33,92,24
KANSAS,LATITUDE,LONGITUDE,
Atchison,39,34,95,7
Chanute AP,37,40,95,29
Dodge City AP (S),37,46,99,58
El Dorado,37,49,96,50
Emporia,38,20,96,12
Garden City AP,37,56,100,44
Goodland AP,39,22,101,42
Great Bend,38,21,98,52
Hutchinson AP,38,4,97,52
Liberal,37,3,100,58
"Manhattan Ft Riley (S)",39,3,96,46
Parsons,37,20,95,31
Russell AP,38,52,98,49
Salina,38,48,97,39
Topeka AP,39,4,95,38
Wichita AP,37,39,97,25
KENTUCKY,LATITUDE,LONGITUDE,
Ashland,38,33,82,44
Bowling Green AP,35,58,86,28
Corbin AP,36,57,84,6
Covington AP,39,3,84,40
"Hopkinsville Ft Campbell",36,40,87,29
Lexington AP (S),38,2,84,36
Louisville AP,38,11,85,44
Madisonville,37,19,87,29
Owensboro,37,45,87,10
Paducah AP,37,4,88,46
LOUISIANA,LATITUDE,LONGITUDE,
Alexandria AP,31,24,92,18
Baton Rouge AP,30,32,91,9
Bogalusa,30,47,89,52
Houma,29,31,90,40
Lafayette AP,30,12,92,0
Lake Charles AP (S),30,7,93,13
Minden,32,36,93,18
Monroe AP,32,31,92,2
Natchitoches,31,46,93,5
New Orleans AP,29,59,90,15
Shreveport AP (S),32,28,93,49
MAINE,LATITUDE,LONGITUDE,
Augusta AP,44,19,69,48
"Bangor Dow AFB",44,48,68,50
Caribou AP (S),46,52,68,1
Lewiston,44,2,70,15
Millinocket AP,45,39,68,42
Portland (S),43,39,70,19
Waterville,44,32,69,40
MARYLAND,LATITUDE,LONGITUDE,
Baltimore AP,39,11,76,40
Baltimore Co,39,20,76,25
Cumberland,39,37,78,46
Frederick AP,39,27,77,25
Hagerstown,39,42,77,44
Salisbury (S),38,20,75,30
MASSACHUSETTS,LATITUDE,LONGITUDE,
Boston AP,42,22,71,2
Clinton,42,24,71,41
Fall River,41,43,71,8
Framingham,42,17,71,25
Gloucester,42,35,70,41
Greenfield,42,3,72,4
Lawrence,42,42,71,10
Lowell,42,39,71,19
New Bedford,41,41,70,58
Pittsfield AP,42,26,73,18
"Springfield Westover AFB",42,12,72,32
Taunton,41,54,71,4
Worcester AP,42,16,71,52
MICHIGAN,LATITUDE,LONGITUDE,
Adrian,41,55,84,1
Alpena AP,45,4,83,26
Battle Creek AP,42,19,85,15
Benton Harbor AP,42,8,86,26
Detroit,42,25,83,1
Escanaba,45,44,87,5
Flint AP,42,58,83,44
Grand Rapids AP,42,53,85,31
Holland,42,42,86,6
Jackson AP,42,16,84,28
Kalamazoo,42,17,85,36
Lansing AP,42,47,84,36
Marquette Co,46,34,87,24
Mt Pleasant,43,35,84,46
Muskegon AP,43,10,86,14
Pontiac,42,40,83,25
Port Huron,42,59,82,25
Saginaw AP,43,32,84,5
Sault Ste. Marie AP (S),46,28,84,22
Traverse City AP,44,45,85,35
Ypsilanti,42,14,83,32
MINNESOTA,LATITUDE,LONGITUDE,
Albert Lea,43,39,93,21
Alexandria AP,45,52,95,23
Bemidji AP,47,31,94,56
Brainerd,46,24,94,8
Duluth AP,46,50,92,11
Fairbault,44,18,93,16
Fergus Falls,46,16,96,4
International Falls AP,48,34,93,23
Mankato,44,9,93,59
Minneapolis/St. Paul AP,44,53,93,13
Rochester AP,43,55,92,30
St. Cloud AP (S),45,35,94,11
Virginia,47,30,92,33
Willmar,45,7,95,5
Winona,44,3,91,38
